,content,label
0,Dừa lắm :)),0
1,Bấp bênh vl thế,1
2,Chắc cũng biết ko tồn tại đc bao lâu nữa nên cố gắng vét,1
3,"Thấy chán ad page này kiến thức thì nông cản cái gì cũng auto sủa, cái nhìn thì tiêu cực, nói chung là dốt còn nát",1
4,Giang Giang Đỗ Thị Ngọc Hà trend mới kìa kìa,0
5,đcm 😒 sau có con cho hút cỏ chữa bệnh chứ đéo đưa đi bệnh viện 😒,1
6,Má nứng quá aiu ơi,1
7,Chụp cái ảnh thôi làm đéo gì đâu mà phiền,1
8,Tăng theo giờ 😭😭😭,0
9,Cực kì thuyết phục :c,0
10,Emma Nguyen vậy mà ca ngợi bên kia lắm... Về làm lol gì,1
11,Thằng chó,1
12,Loại nghiện game + săm trổ k có tương lai đâu nha,1
13,"Nhung Pham Ai chê nghèo ngta có tiền đi nước nào kệ mẹ người ta, Nó vẫn mang qtich VN thì về VN chữa VN đã cấm đâu mà lên tiếng lm gì. ÍCH KỶ",1
14,toàn tin vớ vẩn ... khi nào việt nam sát nhấp với trung quốc thì cả cái DNA này xách dép cho chúng ta hết .. hãy tin vào sự lãnh đạo tài tình của đảng và bộ máy nhà nước...:3 :)),1
15,Ủa bê đê có lol hả ta ??😂😂😂,1
16,"Kéo chuột vãi lồn luôn, nó yếu lắm rồi :D",1
17,Mỗi lần lên sóng là đeo vàng làm như giàu lắm hay sao mà khoe của thấy ghê.còn cái mặt mình nhìn chung ko có 1 chỗ nào thiện cảm hết.nhìn mặt là biết cái thứ đàn bà độc mồm độc miệng.hung dữ.nói tục chửi thề v...v tưởng z là hay lắm,1
18,Làm thêm chục củ mở hòm csgo anh êi :V,0
19,Hãnh diện về ng thầy có tâm nhất của năm.,0
20,Vòng tiền xoay vòng lo nhìu mặt khác của xã hội chứ đâu lo cho mỗi bạn. Vd tiền xây biệt phủ tiền cho con đi du học...,0
21,"12:55 sau buổi phỏng vấn này tôi sẽ múa 1 bài võ cho...choX3,14 ... dập đĩa dữ 😂😂😂",0
22,Du học sinh Úc pewpew,0
23,Nói cái gì vậy mà  cứ nghe đụ má đụ cha vs vàng,1
24,Có ai thấy khá giống đầu của Jadon Sancho ko nhỉ?,0
25,Khánh Con Sao Ko lấy số người chết của Ý ra nhỉ. Ý cũng là châu Âu đó. Hi sinh người chết vừa làm tăng miễn dịch cộng đồng vừa cho đỡ chật đất. Cách làm của Tây hay thật ta ơi 😌,1
26,Nhịn nói sẽ bớt ngu chú ạ...hi,1
27,Quảng Nam lại thêm 1ca nữa ạ,0
28,Đúng là con người mày không có ý thức dân việt nam chúng ta không bao giờ con cho cái ?,1
29,Tên bài hát còn trẻ trâu hơn cả t nhé ! Cười vl 😁,1
30,"Bá ý khẩu nghiệp nặng lắm nha,đầu thai ch hết khẩu nghiệp nx",1
31,K ICM làm ca sĩ luôn rồi à 😢😢😢,0
32,"Thôi chết mẹ, hôm nọ thì con mẹ nấm thối kêu gào ông trum ông vại này nọ,giờ lại đến idol trần dần. Đang tự hỏi,không biết con mẹ nấm thối có phải là cộng sản nằm vùng không ?",1
33,"Hải Yến bố con thần kinh, thở ra cái là thấy mùi rồi",1
34,cho nó rít vài bi cần là nó ngoan vl luôn,1
35,Nghĩ nó chán . 🤔,0
36,múa như cái biệt danh Susan : Chó :)),1
37,Tặng cho những con bò thích làm theo và học tập theo...🤣🤣,1
38,ʚöɞPhong Trần ʚöɞ Đoàn Chính Park Huyn Phong Tấn Đồng quê ta gọi là gì 😂😂,0
39,"Ko phải chê gì chứ khả năng win của sbtc quá cao. Sela kidz clear vs petland toàn những thanh niên chuyên nghiệp try hard vkl sao những ""ông già"" bên kia chơi lại. Còn thầy lồn thì t xin mạng phép bỏ qua ko nói tới coi như sbtc 4 đánh 6",1
40,Thùy Trang nghe chưa dc 15s tắt cmnr nhạc vs nhẽo,1
41,Lào giờ gần như là của Tàu khựa rồi thằng ad ngu ạ. Ủng hộ cái mồ tổ cha mày.,1
42,Ngay bên cạnh còn thấy codon nữa nói gì yêu xaaa 😞,0
43,được anh ey :)),0
44,Giờ này ngta ngủ hết r thầy ơi . Ai ngủ rồi điểm danh phát,0
45,may lại có r,0
46,Quang Minh cái lồn má,1
47,vl :)) handsome boy,1
48,Song trên doi người ta dam ăn  dám  noi con người thẳng thắn. Con hơn mấy con mượn  danh đạo  tạo danh đời đồ  giả  tạo nhìn  là  biết  chỉ  do 1so con ko thấy  đôg cức trên  đầu mình  .mấy  con di ma hay soi moi người  ta 2019 rồi  tập  lam con người  lại  di.,1
49,"Ngu thì chết, đâu phải ko có suy nghĩ đúng sai, chỉ do ko có ý thức.",1
50,Ngộ nghĩnh nhỉ🙂,0
51,Yêu làm cái j,0
52,Thủy Tạ cho mình hỏi này uốn kiểu gì vậy bạn ơi ??,0
53,Ok thầy nhé,0
54,"Cảm giác như dân mình giống thời kì bị đô hộ vkl. Sưu thuế ngập mồm. Mà bị đô hộ khéo còn phát triển đc chứ đây chả thấy đc cái méo gì, còn khổ thêm",1
55,Ko thich VN thì cút sang Campuchia mà sống (DLV cho biết),1
56,Tộc Mixi có khác :33,0
57,Nhi Lai mới nghe nói hồi chiều :))))))),0
58,Chắc trêu =))),0
59,Popy đi Thầy,0
60,cho xin video vs,0
61,Giáo án về One champ Lee bú đá và rụng mất xác,1
62,Bên ngoài tóc đẹp bên trong nhiều tiền,0
63,Con gà phải để cho abe,0
64,Ae cho phím 1 đuổi Abe để cô Dolce quay trở lại nào 😞,0
65,"Hot girl ống tinh đi, nghe vui tai hơn",1
66,Bài này nghe bất tai thôi. Dùng comeback vs cảm ơn đàn Đóm của ổng. Chứ bài này không có tính phổ biến đủ mọi loại tuổi như 3 hit đầu,0
67,Kênh Chat thế giới khác,0
68,Giờ mới nghe ....trời đất ơi cái miệng nó dơ bẩn vô cùng ...bởi vậy giờ cả thế giới đều khinh bỉ ...trời ơi ...khẩu nghiệp vô cùng ..😠😠😠😠😠,1
69,Lươn khươn kiểu cao lãnh 🤣,0
70,Phải biết là sam và so khác nhau.và so đuôi tam giác và so đuôi tròn càng khác nhau nữa,0
71,Ninh Trần cover liền 😂😂,0
72,"đếm dc tầm trăm ""con chim vàng""",0
73,Đíu ai like. Cho thầy đi ăn cắp luôn,1
74,Căng quá các bác uiii,0
75,Mỗi ho k có đờm gì hết r hqua lại mệt,0
76,Cô tui đỉnh quá ><,0
77,Bon con chau TQ lam j co van hoa,1
78,Cho em hỏi sao em xem cmt suốt ngày có Cực kì thuyết phục là sao ạ?,0
79,Valentine năm ngoái có anh,0
80,Cái bình chữa cháy này chưa đạt chuẩn :v chứ nếu chuẩn thì oto ko cháy nhanh thế đâu,0
81,Khẩu nghiệp chêt mẹ may đó trời qua báo may đó hồi xưa may chửi nhiều người . Bây giơ trời qua bao may đo minh hiếu may gu rang chiu kkkkkk,1
82,Lưu Tuyền sắp đến mùa rồi cô ạ ai rủ buôn đừng buôn 😞,0
83,Trần Thành,0
84,"Nếu vậy thì mấy ông CSGT ra đường làm gì cho ""bẩn áo"". Mấy ông mà mà người xấu hết thù ở nhà là xong. Có thế một phát là VN lại ""một ngày đi một trung đội"" như năm nào...",0
85,Ghép làm chó nha ae,0
